Age,Gender,Period,Visit,Frequency,Rides,Pain,Occasion
22,Female,Jul to Sept,Opening Time,Once every 3 years,Roller Coasters;Immersive Experiences;Dark rides,Long waiting times;Difficulty navigating the park,Yes
21,Female,Jul to Sept,Opening Time,Once every 2 years,Roller Coasters;Immersive Experiences;Pendulum rides (eg. Viking ride),Long waiting times;Difficulty navigating the park;Poor crowd management,Yes
23,Male,Oct to Dec,Opening Time,Once every 3 years,Roller Coasters;Immersive Experiences;Drop Towers,Long waiting times;Difficulty navigating the park,No
22,Female,Oct to Dec,Evening,1 to 2 times a year,Roller Coasters;Bumper Cars;Haunted Houses,Long waiting times,Yes
22,Female,Oct to Dec,Opening Time,1 to 2 times a year,Ferris Wheels;Bumper Cars;Carousels,Long waiting times;Poor crowd management;Lack of real time information about waiting times,Yes
21,Female,Apr to Jun,Opening Time,Once every 2 years,Roller Coasters;Immersive Experiences,Long waiting times;Poor crowd management,Yes
22,Male,Oct to Dec,Early Afternoon,Once every 2 years,Roller Coasters;Dark rides;Haunted Houses,Long waiting times;Poor crowd management;Lack of real time information about waiting times;Others,No
19,Male,Jan to Mar,Opening Time,Less than once every 5 years,Others,Poor crowd management,No
23,Male,Apr to Jun,Late Afternoon,1 to 2 times a year,Roller Coasters;Dark rides;Pendulum rides (eg. Viking ride),Long waiting times;Lack of real time information about waiting times,Yes
23,Female,Jul to Sept,Opening Time,Once every 4 years,Roller Coasters;Immersive Experiences;Pendulum rides (eg. Viking ride),Long waiting times;Difficulty navigating the park;Lack of real time information about waiting times,No
25,Male,Oct to Dec,Opening Time,Less than once every 5 years,Roller Coasters;Immersive Experiences;Dark rides;Haunted Houses;Eateries,Long waiting times;Lack of real time information about waiting times,Yes
24,Male,Jul to Sept,Opening Time,Once every 2 years,Roller Coasters;Dark rides;Haunted Houses,Long waiting times;Poor crowd management,No
15,Prefer not to say,Apr to Jun;Oct to Dec,Early Afternoon,Once every 2 years,Roller Coasters;Eateries,Long waiting times;Lack of real time information about waiting times,Yes
25,Male,Apr to Jun,Early Afternoon,Once every 2 years,Roller Coasters;Bumper Cars;Dark rides,Long waiting times;Lack of real time information about waiting times;Poor reception,Yes
25,Male,Oct to Dec,Opening Time,Less than once every 5 years,Roller Coasters;Immersive Experiences;Dark rides,Long waiting times;Lack of real time information about waiting times,Yes
