name,year,attendee_count
Alton Towers,2023,2350000
Alton Towers,2022,2300000
Alton Towers,2021,1800000
Alton Towers,2020,670000
Alton Towers,2019,2520000
Alton Towers,2018,2200000
Alton Towers,2017,1860000
Alton Towers,2016,1710000
Alton Towers,2015,1950000
Alton Towers,2014,2290000
Alton Towers,2013,2600000
Alton Towers,2012,2400000
Alton Towers,2011,2710000
Alton Towers,2010,3080000
Alton Towers,2009,2680000
Alton Towers,2008,2600000
Alton Towers,2007,2230000
Alton Towers,2006,2210000
Alton Towers,2005,2190000
Alton Towers,2004,2120000
Alton Towers,2003,2540000
Alton Towers,2002,2670000
Alton Towers,2001,2170000
Alton Towers,2000,2410000
Alton Towers,1999,2610000
Alton Towers,1998,2900000
Alton Towers,1997,2890000
Alton Towers,1996,2890000
Alton Towers,1995,2850000
Alton Towers,1994,3310000
Alton Towers,1993,2850000
Alton Towers,1992,2640000
Alton Towers,1991,1820000
Alton Towers,1990,1930000
Alton Towers,1989,2440000
Alton Towers,1988,2890000
Alton Towers,1987,2310000
Alton Towers,1986,2250000
Alton Towers,1985,1810000
Alton Towers,1984,1830000
Thorpe Park,2023,1620000
Thorpe Park,2022,1600000
Thorpe Park,2021,1700000
Thorpe Park,2020,600000
Thorpe Park,2019,1490000
Thorpe Park,2018,1590000
Thorpe Park,2017,1540000
Thorpe Park,2016,1620000
Thorpe Park,2015,1510000
Thorpe Park,2014,1830000
Thorpe Park,2013,1770000
Thorpe Park,2012,1820000
Thorpe Park,2011,2110000
Thorpe Park,2010,2170000
Thorpe Park,2009,2110000
Thorpe Park,2008,1820000
Thorpe Park,2007,1830000
Thorpe Park,2006,1790000
Thorpe Park,2005,1570000
Thorpe Park,2004,1470000
Thorpe Park,2003,1530000
Thorpe Park,2002,1420000
Thorpe Park,2001,1170000
Thorpe Park,2000,922000
Thorpe Park,1999,906000
Thorpe Park,1998,880000
Thorpe Park,1997,943000
Thorpe Park,1996,1170000
Thorpe Park,1995,1130000
Thorpe Park,1994,1210000
Thorpe Park,1993,1250000
Thorpe Park,1992,1100000
Thorpe Park,1991,959000
Thorpe Park,1990,1000000
Thorpe Park,1989,1350000
Thorpe Park,1988,1180000
Thorpe Park,1987,1100000
Thorpe Park,1986,1100000
Thorpe Park,1985,1100000
Thorpe Park,1984,1040000
Thorpe Park,1983,828000
Chessington World of Adventures,2022,1500000
Chessington World of Adventures,2021,1450000
Chessington World of Adventures,2020,510000
Chessington World of Adventures,2019,1660000
Chessington World of Adventures,2018,1560000
Chessington World of Adventures,2017,1500000
Chessington World of Adventures,2016,1430000
Chessington World of Adventures,2015,1420000
Chessington World of Adventures,2014,1540000
Chessington World of Adventures,2013,1520000
Chessington World of Adventures,2012,1390000
Chessington World of Adventures,2011,1500000
Chessington World of Adventures,2010,1430000
Chessington World of Adventures,2009,1330000
Chessington World of Adventures,2008,1250000
Chessington World of Adventures,2007,962000
Chessington World of Adventures,2006,1010000
Chessington World of Adventures,2005,1080000
Chessington World of Adventures,2004,1230000
Chessington World of Adventures,2003,1290000
Chessington World of Adventures,2002,1280000
Chessington World of Adventures,2001,1550000
Chessington World of Adventures,2000,1590000
Chessington World of Adventures,1999,1660000
Chessington World of Adventures,1998,1820000
Chessington World of Adventures,1997,1840000
Chessington World of Adventures,1996,1790000
Chessington World of Adventures,1995,1870000
Chessington World of Adventures,1994,1660000
Chessington World of Adventures,1993,1510000
Chessington World of Adventures,1992,1210000
Chessington World of Adventures,1991,1450000
Chessington World of Adventures,1990,1050000
Chessington World of Adventures,1989,1240000
Chessington World of Adventures,1988,1180000
Chessington World of Adventures,1987,848000
Chessington World of Adventures,1986,495000
Chessington World of Adventures,1985,555000
Chessington World of Adventures,1984,615000
Disneyland Park Paris,2023,10400000
Disneyland Park Paris,2022,9930000
Disneyland Park Paris,2021,3500000
Disneyland Park Paris,2020,2620000
Disneyland Park Paris,2019,9745000
Disneyland Park Paris,2018,9843000
Disneyland Park Paris,2017,9660000
Disneyland Park Paris,2016,8400000
Disneyland Park Paris,2015,9790000
Disneyland Park Paris,2014,9940000
Disneyland Park Paris,2013,10430000
Disneyland Park Paris,2012,11200000
Disneyland Park Paris,2011,10990000
Disneyland Park Paris,2010,10500000
Disneyland Park Paris,2009,12740000
Disneyland Park Paris,2008,12688000
Disneyland Park Paris,2007,12000000
Disneyland Park Paris,2006,10600000
Epcot,2023,11980000
Epcot,2022,10000000
Epcot,2021,7752000
Epcot,2020,4044000
Epcot,2019,12444000
Epcot,2018,12444000
Epcot,2017,12200000
Epcot,2016,11712000
Epcot,2015,11798000
Epcot,2014,11454000
Epcot,2013,11229000
Epcot,2012,11063000
Epcot,2011,10825000
Epcot,2010,10825000
Epcot,2009,10990000
Epcot,2008,10935000
Epcot,2007,10930000
Epcot,2006,10460000
Disney Magic Kingdom,2023,17720000
Disney Magic Kingdom,2022,17133000
Disney Magic Kingdom,2021,12691000
Disney Magic Kingdom,2020,6941000
Disney Magic Kingdom,2019,20963000
Disney Magic Kingdom,2018,20859000
Disney Magic Kingdom,2017,20450000
Disney Magic Kingdom,2016,20395000
Disney Magic Kingdom,2015,20492000
Disney Magic Kingdom,2014,19332000
Disney Magic Kingdom,2013,18588000
Disney Magic Kingdom,2012,17536000
Disney Magic Kingdom,2011,17142000
Disney Magic Kingdom,2010,16972000
Disney Magic Kingdom,2009,17233000
Disney Magic Kingdom,2008,17063000
Disney Magic Kingdom,2007,17060000
Disney Magic Kingdom,2006,16640000
Disney Hollywood Studios,2023,10300000
Disney Hollywood Studios,2022,10900000
Disney Hollywood Studios,2021,8589000
Disney Hollywood Studios,2020,3675000
Disney Hollywood Studios,2019,11483000
Disney Hollywood Studios,2018,11258000
Disney Hollywood Studios,2017,10722000
Disney Hollywood Studios,2016,10776000
Disney Hollywood Studios,2015,10828000
Disney Hollywood Studios,2014,10312000
Disney Hollywood Studios,2013,10110000
Disney Hollywood Studios,2012,9912000
Disney Hollywood Studios,2011,9699000
Disney Hollywood Studios,2010,9603000
Disney Hollywood Studios,2009,9700000
Disney Hollywood Studios,2008,9608000
Disney Hollywood Studios,2007,9510000
Disney Hollywood Studios,2006,9100000
Animal Kingdom,2023,8770000
Animal Kingdom,2022,9027000
Animal Kingdom,2021,7194000
Animal Kingdom,2020,4166000
Animal Kingdom,2019,13888000
Animal Kingdom,2018,13750000
Animal Kingdom,2017,12500000
Animal Kingdom,2016,10844000
Animal Kingdom,2015,10922000
Animal Kingdom,2014,10402000
Animal Kingdom,2013,10198000
