name,year,month,avg_crowd_level
Alton Towers,2025,Jan,41
Alton Towers,2025,Feb,81
Alton Towers,2025,Mar,NA
Alton Towers,2025,Apr,NA
Alton Towers,2025,May,NA
Alton Towers,2025,Jun,NA
Alton Towers,2025,Jul,NA
Alton Towers,2025,Aug,NA
Alton Towers,2025,Sep,NA
Alton Towers,2025,Oct,NA
Alton Towers,2025,Nov,NA
Alton Towers,2025,Dec,NA
Alton Towers,2024,Jan,25
Alton Towers,2024,Feb,74
Alton Towers,2024,Mar,47
Alton Towers,2024,Apr,40
Alton Towers,2024,May,40
Alton Towers,2024,Jun,45
Alton Towers,2024,Jul,54
Alton Towers,2024,Aug,70
Alton Towers,2024,Sep,29
Alton Towers,2024,Oct,42
Alton Towers,2024,Nov,37
Alton Towers,2024,Dec,24
Alton Towers,2023,Jan,24
Alton Towers,2023,Feb,68
Alton Towers,2023,Mar,30
Alton Towers,2023,Apr,48
Alton Towers,2023,May,35
Alton Towers,2023,Jun,49
Alton Towers,2023,Jul,58
Alton Towers,2023,Aug,67
Alton Towers,2023,Sep,32
Alton Towers,2023,Oct,42
Alton Towers,2023,Nov,39
Alton Towers,2023,Dec,16
Alton Towers,2022,Jan,25
Alton Towers,2022,Feb,NA
Alton Towers,2022,Mar,33
Alton Towers,2022,Apr,53
Alton Towers,2022,May,36
Alton Towers,2022,Jun,53
Alton Towers,2022,Jul,70
Alton Towers,2022,Aug,77
Alton Towers,2022,Sep,42
Alton Towers,2022,Oct,56
Alton Towers,2022,Nov,32
Alton Towers,2022,Dec,28
Alton Towers,2021,Jan,NA
Alton Towers,2021,Feb,NA
Alton Towers,2021,Mar,NA
Alton Towers,2021,Apr,52
Alton Towers,2021,May,54
Alton Towers,2021,Jun,82
Alton Towers,2021,Jul,73
Alton Towers,2021,Aug,91
Alton Towers,2021,Sep,39
Alton Towers,2021,Oct,54
Alton Towers,2021,Nov,46
Alton Towers,2021,Dec,46
Alton Towers,2020,Jan,NA
Alton Towers,2020,Feb,NA
Alton Towers,2020,Mar,NA
Alton Towers,2020,Apr,NA
Alton Towers,2020,May,NA
Alton Towers,2020,Jun,NA
Alton Towers,2020,Jul,82
Alton Towers,2020,Aug,95
Alton Towers,2020,Sep,64
Alton Towers,2020,Oct,52
Alton Towers,2020,Nov,45
Alton Towers,2020,Dec,31
Alton Towers,2019,Jan,NA
Alton Towers,2019,Feb,NA
Alton Towers,2019,Mar,45
Alton Towers,2019,Apr,49
Alton Towers,2019,May,47
Alton Towers,2019,Jun,46
Alton Towers,2019,Jul,64
Alton Towers,2019,Aug,73
