review_id,touchpoint,sentiment,code,text_excerpt,travel_party,first_visit,visit_timing
531138321,entertainment,neutral,mickey's halloween party,Mickey;s Not So Scary Halloween party,,,Halloween
531138321,timing,neutral,first night of events,this was the first night of the events scheduled,,,Halloween
531138321,attractions,negative,long ride lines,really long ride lines,,,Halloween
531138321,entertainment,positive,enjoyable main parade,The main parade was good,,,Halloween
531138321,entertainment,positive,excellent fireworks display,the fire works excellent,,,Halloween
531138321,atmosphere,positive,best themed costumes,costumes are at their best with the addional theme,,,Halloween
531138321,entry/admission,positive,worth ticket price,Worth the ticket price,,,Halloween
25004598,attractions,negative,excessive ride queue times,The queues for the rides were absolutely enourmous most were 90 minutes wait.,family,,February
25004598,food/beverage,negative,excessive food pricing,really really expensive food,family,,February
25004598,food/beverage,negative,overpriced pizza planet lunch,We had luch on the first day at pizza planet and spent   65 just on a salad 2 small pizzas and drinks.,family,,February
25004598,facilities,negative,filthy accommodation conditions,it was filthy in the accomodation,family,,February
25004598,facilities,negative,contracted sickness bugs,We all caught sickness bugs whilst there.,family,,February
155279085,attractions,neutral,consistent magic kingdom experience,Nothing really new in the Magic Kingdom from the previous year when we were here.,,,holiday
155279085,attractions,negative,ride closure disappointment,Indiana Jones ride down most of the day so we didn't get to do that.,,,holiday
155279085,navigation,negative,terrible later day crowding,Crowds were terrible later in the day.,,,holiday
155279085,attractions,positive,enjoyable holiday haunted mansion,The Haunted Mansion is always a treat at holiday time,,,holiday
155279085,entertainment,positive,enjoyable holiday parade,as is the parade,,,holiday
155279085,atmosphere,positive,new orleans square atmosphere,Our favorite part of the park is New Orleans Square. Great atmosphere,,,holiday
155279085,food/beverage,positive,new orleans square food,and food.,,,holiday
3460644,attractions,negative,very long lines,What we caught was very long lines,couple,Unknown,long weekend
3460644,attractions,negative,FastPass booths closed,Fast Pass booths closed,couple,Unknown,long weekend
3460644,attractions,negative,several attractions closed,several attractions closed,couple,Unknown,long weekend
3460644,food/beverage,negative,too few attractions,too few attractions.,couple,Unknown,long weekend
3460644,staff,negative,terrible attraction car loading,The staff was terrible at loading attraction cars,couple,Unknown,long weekend
3460644,attractions,negative,empty attraction cars,20% of the cars that went by were empty,couple,Unknown,long weekend
3460644,characters,negative,no character sighting,we did not see ONE charachter!,couple,Unknown,long weekend
3460644,recommendation,negative,American will likely hate,"If you are an American, you will most likely hate it.",couple,Unknown,long weekend
3460644,entry/admission,negative,fare incorrect locked out,"If your fare is short, you are locked out and you have to buy a  violators ticket",couple,Unknown,long weekend
3460644,comparison,positive,Europa Park much better,Europa Park in Germany is 10 X better.,couple,Unknown,long weekend
594693531,pre-visit,positive,plan to maximize time,"You will definitely want to plan out your day, and make the most of it by getting there early and if possible using an Extra Magic Hour to get some more time.",couple,,
594693531,attractions,positive,recommend using Fastpass,Use Fastpass.,couple,,
594693531,attractions,positive,MaxPass worth the cost,"We paid extra for MaxPass and for a small party (two of us), it was worth it but I can see where it can be cost prohibitive for larger parties",couple,,
594693531,entry/admission,neutral,allot time for entry,"Be sure to allot enough time to park your car, go through security, and get into the park.",couple,,
594693531,facilities,positive,convenient hotel proximity,If you're staying at a Disney resort   or even a nearby hotel on Harbor Blvd. or Katella Ave.   consider taking a break.,couple,,
594693531,food/beverage,positive,hotel restaurants break,you can also visit the Disney hotel restaurants bars for a break   in addition to those in Downtown Disney.,couple,,
594693531,attractions,neutral,check attraction schedule,"Make sure you pay attention to showtimes or special hours for certain attractions (i.e., the Sailing Ship Columbia), as they don't operate the entire time the park is open.",couple,,
434171596,comparison,positive,favorite Disney park,this is our favorite,,,
434171596,food/beverage,positive,recommend Dole Whip,Make sure to grab a Dole Whip,,,
434171596,attractions,positive,recommend Indiana Jones,"the must do rides are, Indiana Jones",,,
434171596,attractions,positive,recommend Pirates ride,Pirates,,,
434171596,attractions,positive,recommend Splash Mountain,Splash Mountain,,,
434171596,attractions,negative,Matterhorn too bumpy,We found Matterhorn way to bumpy to enjoy.,,,
281038718,attractions,negative,multiple ride closures,"at least three rides were shut (space mountain, carousel and one other)",family,,yesterday
281038718,navigation,negative,lack queue management,"there were no crowd control at the railway station, resulting in a lot of pushing and queue cutting",family,,yesterday
281038718,staff,negative,impolite staff communication,"Some of the staffs were shouting at the patrons to get back in the queue etc, I feel that they should try to put it across nicely",family,,yesterday
281038718,attractions,negative,long ride wait times,Be prepared to wait at least 20 50 minutes for most rides,family,,yesterday
281038718,attractions,negative,limited fastpass availability,there is only 1 fast pass allowed at any one time,family,,yesterday
281038718,comparison,negative,less enjoyable experience,this is the only one that we did not really enjoy,family,,yesterday
281038718,attractions,negative,insufficient kids rides,too few rides for the kids,family,,yesterday
281038718,food/beverage,neutral,many restaurants available,There are too many restaurants,family,,yesterday
339557119,attractions,positive,minimal ride queue times,to come here and have no queues...the longest we waited was 20 minutes for Its a Small World. Everything else was straight on.,family,,winter
339557119,atmosphere,positive,enjoyable holiday theming,The xmas theme was great fun.,family,,winter
339557119,recommendation,positive,seasonal destination recommendation,I highly recommend this as an off season destination for a great family day out,family,,winter
339557119,timing,positive,weather preparedness impact,if you dress warmly you won't even notice it's winter.,family,,winter
387623383,attractions,positive,maximize fast pass usage,"Make the most of fast passes, always get one when you can.",,,
387623383,entertainment,positive,amazing parade and fireworks,make sure to stay for the parade and fireworks at the end of the day,,,
387623383,characters,positive,character meet without queues,breakfast at the plaza inn is a great way to meet characters without the queues,,,
387623383,food/beverage,positive,amazing plaza inn food,the food is amazing!,,,
121300679,attractions,positive,rides delight smaller kids,Plenty of rides that delight smaller kids.,,,
121300679,attractions,negative,limited grown up rides,A few  grown up  rides but not enough to go there for that reason.,,,
121300679,cleanliness,positive,very clean park,Very clean park.,,,
121300679,attractions,positive,handy Fastpass access,"Fastpass access should always be purchased, very handy.",,,
379889384,atmosphere,positive,fun first-class amusement park,"Disneyland is just a fun, first class and varied amusement park.",friends,,
379889384,atmosphere,positive,feel-good atmosphere,Disney makes everything and everyone feel great!,friends,,
195872800,cleanliness,positive,park cleanliness well maintained,The park is very clean,family,,February
195872800,staff,positive,staff friendly and helpful,"the staff were happy, friendly and willing to help",family,,February
195872800,food/beverage,negative,expensive food and drink,Food and drink are expensive in the parks as expected.,family,,February
156496430,cleanliness,negative,smoking in park,People were smoking all over the park including while waiting in queues.,,No,
156496430,attractions,negative,ride carriage malfunctions,Many rides with the same carriages were broken day after day,,No,
156496430,attractions,negative,longer ride queues,causing longer queues than necessary.,,No,
156496430,attractions,negative,haunted house disappointment,No ghosts on the back of the Haunted House Ride?,,No,
156496430,attractions,negative,broken tram tour screens,Both times Screen Studio Tram Tours the commentary screens were not working.,,No,
156496430,attractions,negative,aero smith music malfunction,Music was not always working on the Aero Smith Roller Coaster.,,No,
156496430,attractions,negative,pirates ride breakdown,Pirates water ride and Crush ride both broke down while we were at the park.,,No,
156496430,attractions,negative,limited early rides,Very limited number of rides operating during the parks early opening hours.,,No,
156496430,food/beverage,negative,restaurant stalls closed,Lots of restaurants and food stalls were not open for the duration of our visit,,No,
156496430,food/beverage,negative,massive food queues,therefore massive queues at the ones that were.,,No,
156496430,entertainment,negative,captain eo disappointment,Captain EO   awful   not a patch on the fantastic 'Honey I shrunk the kids' previously showing.,,No,
156496430,food/beverage,negative,excessive food pricing,Food unbelievably expensive.,,No,
111698723,navigation,negative,difficult park navigation,Difficult to cover both park in one day.,family,,
111698723,recommendation,positive,family travel recommendation,It suitable for kids and family and one of best in california for family.,family,,
111698723,timing,positive,weekday visit recommendation,best time to trave in weekdays to avoid rush,family,,
271807920,atmosphere,positive,immaculate park condition,The park was immaculate per usual.,couple,,
271807920,attractions,positive,acceptable wait times,The wait times were not bad,couple,,
271807920,food/beverage,positive,obtained restaurant reservation,we were even able to get a reservation at Blue Bayou,couple,,
271807920,staff,positive,wonderful cast member interactions,All the cast members we interacted with were wonderful.,couple,,
391603753,attractions,negative,high ride closure rate,approx. 80% of the roller coaster rides were closed,friends,no,end of June
391603753,attractions,negative,lacking transparent communication,There was no transparent communication to this extensive maintenance work.,friends,no,end of June
391603753,navigation,negative,unclear maintenance markings,you had to walk the whole way to see if they were closed today or not,friends,no,end of June
391603753,facilities,neutral,selfie stick park ban,throughout the whole park there is a ban on selfie sticks for security reasons,friends,no,end of June
391603753,food/beverage,negative,poor restaurant value,the value for money in the restaurants is really poor,friends,no,end of June
391603753,comparison,negative,better parks in Europe,For adults there are better parks in Europe.,friends,no,end of June
240165727,atmosphere,positive,happiest place on earth,Disneyland is truly the happiest place on earth,,,
240165727,entertainment,positive,excellent show quality,The shows were excellent,,,
240165727,staff,positive,friendly and helpful staff,The staff are friendly and helpful.,,,
261174469,navigation,positive,easy park navigation,was able to navigate her way around the park and go from ride to ride and world to world a few times throughout the day,family,Yes,
261174469,attractions,positive,child's independent ride experience,She was also able to ride by herself when I did not want to go for for the 5th time in a row.,family,Yes,
261174469,entertainment,positive,magical street parade climax,We loved the the magic of the street parade as a fitting climax to a great day out.,family,Yes,
190463633,navigation,negative,unexpected high crowding levels,It was much more crowded than I thought,,no,holiday
190463633,attractions,positive,effective FastPass usage,"once we got the hang of fast pass, it worked well",,no,holiday
190463633,attractions,negative,disappointing ride theme change,Disappointed by the Haunted Mansion holiday makeover,,no,holiday
190463633,attractions,positive,improved ride animatronics,appreciate how the animatronics has improved over the years,,no,holiday
82508536,entry/admission,negative,expensive family entry cost,The price to get in for our family of 4 (for a 2 day hopper pass) was nearly $600.,family,no,
82508536,entry/admission,negative,entry fee not justified,I did not feel the place justified such a high entry fee especially since there were still so many things you had to pay for once inside.,family,no,
82508536,attractions,negative,tired of long queues,tired of walking and waiting in long queues.,family,no,
82508536,atmosphere,negative,miserable guests observed,there sure were a lot of miserable looking parents and kids walking around,family,no,
82508536,food/beverage,negative,"unhealthy, disgusting food",So unhealthy and disgusting.,family,no,
82508536,food/beverage,negative,inedible pizza port food,Don't eat at Pizza Port ended up throwing it away.,family,no,
191267562,atmosphere,positive,inner child experience,Disneyland will always bring out the inner child within me.,,No,"Spring and Summer breaks, ESPECIALLY during the holidays"
191267562,attractions,positive,enjoyable favorite attractions,"A trip to Disneyland is not complete without riding Indiana Jones, Big Thunder Mountain Railroad, Space Mountain, and Splash Mountain; all other attractions are enjoyable, but the ones I've mentioned are my favorites.",,No,"Spring and Summer breaks, ESPECIALLY during the holidays"
191267562,navigation,negative,crowding during peak times,it tends to get extremely crowded,,No,"Spring and Summer breaks, ESPECIALLY during the holidays"
191267562,navigation,negative,aggravating crowded places,crowded places means aggravating crowds,,No,"Spring and Summer breaks, ESPECIALLY during the holidays"
191267562,characters,positive,fun character interactions,It's fun taking pictures with the characters,,No,"Spring and Summer breaks, ESPECIALLY during the holidays"
191267562,attractions,positive,enjoyable rides fantasyland,hitting the rides at Fantasyland,,No,"Spring and Summer breaks, ESPECIALLY during the holidays"
191267562,attractions,positive,unique holiday decorated attraction,I'd tend to ride It's a Small World when it's re decorated for the holidays more than once!,,No,"Spring and Summer breaks, ESPECIALLY during the holidays"
191267562,entertainment,positive,must-see shows fireworks,Fantasmic! and the fireworks are a must see!,,No,"Spring and Summer breaks, ESPECIALLY during the holidays"
250313963,comparison,negative,smaller park missing attractions,HK Disney is much smaller and therefore missing the key attractions we are used to.,family,Unknown,Friday early afternoon
250313963,food/beverage,negative,missing US food options,But the biggest thing missing is the food. Don't come here expecting to eat US food anywhere.,family,Unknown,Friday early afternoon
250313963,food/beverage,negative,unique popcorn flavor,Even the popcorn is different honey mustard flavored.,family,Unknown,Friday early afternoon
250313963,food/beverage,positive,enjoyable mango Dole whip,I will say the mango Dole whip was the highlight.,family,Unknown,Friday early afternoon
250313963,food/beverage,negative,mediocre main street restaurant,We ate on Main Street at the Coca Cola branded restaurant and it was meh.,family,Unknown,Friday early afternoon
250313963,entertainment,neutral,location for light parade,the location was right for the night time light parade.,family,Unknown,Friday early afternoon
250313963,navigation,neutral,altercation over line cutting,We had a little extra show as there was a HKer yelling at a Mainland tourist for what appeared to be a cutting in line.,family,Unknown,Friday early afternoon
250313963,attractions,positive,thrilling ride twist,Kids loved the Thunder Mountain like ride because there was a twist when the ride went backwards.,family,Unknown,Friday early afternoon
250313963,retail,positive,attractive main street merchandise,Loved shopping in the Main Street store.,family,Unknown,Friday early afternoon
250313963,retail,positive,cute mug designs,The mugs are really cute,family,Unknown,Friday early afternoon
250313963,retail,negative,gaudy shirt designs,Most of the shirts are garrish; very loud and overly detailed.,family,Unknown,Friday early afternoon
250313963,attractions,neutral,train with mickey details,The train is cute with Mickey shaped windows and handlebars.,family,Unknown,Friday early afternoon
250313963,recommendation,negative,no revisit recommendation,Would I go again? Nope.,family,Unknown,Friday early afternoon
250313963,timing,positive,lucky visit timing,We got lucky on the timing.,family,Unknown,Friday early afternoon
250313963,navigation,negative,crowd backed up train,Let the crowd go ahead otherwise you are backed up on the train landing.,family,Unknown,Friday early afternoon
153574756,attractions,positive,early access reduced queues,This made the queuing alot less painful.,family,,
153574756,attractions,negative,ride breakdown disappointment,3 of the rides that were open(not all the rides open before 10) were broken leaving you little to choose from,family,,
153574756,attractions,positive,worth early access,worth going in early to avoid the queues,family,,
153574756,attractions,negative,ride closures frustrating,Some rides were closed for our entirety of our stay which was quite frustrating,family,,
153574756,attractions,negative,queuing frustration with toddler,if the queuing gets too frustrating for a 2 year old all your really left with is a glorified shopping centre with quite a few restaurants chucked in,family,,
153574756,navigation,positive,park never felt overrun,even though the park was busy it never felt over run with people,family,,
153574756,staff,positive,happy and helpful staff,The staff were on the whole happy and willing to help.,family,,
153574756,entertainment,positive,good parades and fireworks,The parades were really good and the lights and fireworks at the end of the day were brilliant.,family,,
153574756,attractions,positive,buzz lightyear ride favorite,The Buzz Lightyear Ride was one of my sons favorites,family,,
153574756,attractions,positive,wife liked rides,whilst my wife liked the Peter Pan ride and Its Small World Ride,family,,
153574756,food/beverage,positive,good tasty food,The restaurants were really good and the food was really tasty,family,,
153574756,retail,neutral,shops not overpriced,"the shops, all though all very similar were not in my mind particulary overpriced as you wouldn`t expect them to be cheap.",family,,
153574756,recommendation,neutral,recommend only with queues,"Overall, a great experience but possibly only if you don`t mind queuing.",family,,
157272437,comparison,negative,inferior park experience,had an air of  not in the right place  feels to it,,,
157272437,comparison,negative,smaller park size,much smaller than the ones in Annaheim and Orlando,,,
157272437,comparison,negative,limited ride number,the number of rides are also limited,,,
157272437,atmosphere,positive,lively Main Street atmosphere,"the Main Street is alive and busy with music, shops, snacks and cafes",,,
157272437,atmosphere,positive,pleasant open-air experience,nice way to spend an afternoon in the open air,,,
246686529,recommendation,positive,strong positive recommendation,"Disneyland is a must go, at least once in your lifetime.",,,
246686529,atmosphere,positive,happiest place on earth,This is the happiest place on earth,,,
246686529,characters,positive,enjoyable character interaction,being an adult I still get a bit giddy when I get my picture taken with Mickey!,,,
246686529,recommendation,positive,highly recommend kids visit,The kids will ABSOLUTELY Love it...even your angsty teenager!,,,
246686529,attractions,positive,experience worth the wait,The experience is worth the wait!,,,
292783245,entertainment,positive,spectacular parade experience,The Paint the Night parade blew my mind with the extravagant floats and the bright colors that illuminate the entire park.,,,Diamond Celebration
292783245,entertainment,positive,best fireworks ever,The fireworks were the best that I have ever seen at Disneyland,,,Diamond Celebration
292783245,entertainment,positive,enjoyable movie clip integration,I loved the movie clips and the corresponding fireworks.,,,Diamond Celebration
122993372,comparison,neutral,smallest disneyland park,This one Disneyland is probably the smallest among the other Disney parks around the world,tour group,No,September
