Review_ID,Rating,Year_Month,Location,Review_Text,Branch
531138321,5,2017-09-01,United Kingdom,We visited for Mickey;s Not So Scary Halloween party this was the first night of the events scheduled. The park was very busy with really long ride lines. The main parade was good and the fire works excellent. Trick or treat staions were set up throughout the park. This is one of our favioute times to visit as the costumes are at their best with the addional theme. Worth the ticket price as you can visit both parks on the same day and enter from 3pm.  ,Disneyland_California
25004598,1,,United States,We arrived on 15th February 2009 and were due to go home on the afternoon of saturday 21st February. We hated it so much we left on the morning of Friday 20th as we had had enogh! The queues for the rides were absolutely enourmous most were 90 minutes wait. Having two young boys aged 5 and 10 and a 6 month baby we couldnt wait around for that long for a ride. Really rude people and really really expensive food. We had luch on the first day at pizza planet and spent   65 just on a salad 2 small pizzas and drinks. Dinner usually came to   100. We stayed at davy crockett ranch and it was filthy in the accomodation. We all caught sickness bugs whilst there.,Disneyland_Paris
155279085,5,2012-12-01,United States,Nothing really new in the Magic Kingdom from the previous year when we were here. Indiana Jones ride down most of the day so we didn't get to do that. Crowds were terrible later in the day. The Haunted Mansion is always a treat at holiday time as is the parade. Our favorite part of the park is New Orleans Square. Great atmosphere and food. ,Disneyland_California
3460644,1,,United States,"My husband and I recently returned from a long weekend in Paris. Since we were ahead of schedule, we thought we would catch some Euro Disney Magic! What we caught was very long lines, Fast Pass booths closed, several attractions closed, too many restaurants cafes and too few attractions. The staff was terrible at loading attraction cars   normally, you line up and they try to fill all the seats, right? 20% of the cars that went by were empty. Also, in six hours, we did not see ONE charachter! It was unbelievable considering that it was so busy. At best, it was lousy. If you are an American, you will most likely hate it. Another poster said the entrance was beautiful, but it went downhill FAST after that. I agree. Also, be careful if you take the RER out to Disney from Paris. Be sure your fare is correct before you arrive as you insert your RER ticket for entry into the Park. If your fare is short, you are locked out and you have to buy a  violators ticket  for 25 Euro. Europa Park in Germany is 10 X better.",Disneyland_Paris
594693531,5,2018-07-01,United States,"You will definitely want to plan out your day, and make the most of it by getting there early and if possible using an Extra Magic Hour to get some more time. Use Fastpass. We paid extra for MaxPass and for a small party (two of us), it was worth it but I can see where it can be cost prohibitive for larger parties.Be sure to allot enough time to park your car, go through security, and get into the park. Don't arrive at 8:45 and think you're getting in at 9:00   go 30 45 minutes earlier than when you want to be inside   even earlier on busier days.If you're staying at a Disney resort   or even a nearby hotel on Harbor Blvd. or Katella Ave.   consider taking a break. If your hotel is a bit further away (or you're a local and don't already know this), you can also visit the Disney hotel restaurants bars for a break   in addition to those in Downtown Disney.Make sure you pay attention to showtimes or special hours for certain attractions (i.e., the Sailing Ship Columbia), as they don't operate the entire time the park is open.",Disneyland_California
434171596,5,2016-11-01,United States,"We love love love the park. We have visited most of the Disney parks and this is our favorite. Make sure to grab a Dole Whip and the must do rides are, Indiana Jones, Pirates, and Splash Mountain. We found Matterhorn way to bumpy to enjoy.",Disneyland_California
281038718,3,2015-06-01,Singapore,"Went to Disneyland Park yesterday with my 7 year old. We had an amazing time but we were somewhat disappointed at least three rides were shut (space mountain, carousel and one other), there were no crowd control at the railway station, resulting in a lot of pushing and queue cutting which upset the people who spent 20 minutes queuing up before the train arrived.Some of the staffs were shouting at the patrons to get back in the queue etc, I feel that they should try to put it across nicely even though it may be for the patrons' own safety. Be prepared to wait at least 20 50 minutes for most rides and there is only 1 fast pass allowed at any one time. I've been to 3 Disneyland so far and this is the only one that we did not really enjoy. There are too many restaurants and too few rides for the kids....",Disneyland_Paris
339557119,5,2016-01-01,New Zealand,"What at amazing disneyland experience for the kids, to come here and have no queues...the longest we waited was 20 minutes for Its a Small World. Everything else was straight on. The xmas theme was great fun. I highly recommend this as an off season destination for a great family day out   if you dress warmly you won't even notice it's winter.",Disneyland_Paris
387623383,5,2016-06-01,United Kingdom,"Make the most of fast passes, always get one when you can. This place is truly amazing make sure to stay for the parade and fireworks at the end of the day. Honestly cannot say how amazing it is. Also breakfast at the plaza inn is a great way to meet characters without the queues and the food is amazing!",Disneyland_California
121300679,5,2011-11-01,Australia,"Plenty of rides that delight smaller kids.  A few  grown up  rides but not enough to go there for that reason.  Very clean park.  Fastpass access should always be purchased, very handy.",Disneyland_HongKong
