"from";"to";"walkTime";"distance";"popularity";"category";"rideDuration"
"1";"2";"345.767143008058";"480.232143066748";"163";"Kiddie";"60"
"1";"3";"34.68038043443";"48.1671950478195";"750";"Roller Coaster";"90"
"1";"4";"335.813750815288";"466.407987243456";"561";"Family";"90"
"1";"5";"34.1548887462729";"47.4373454809345";"713";"Spinning Ride";"120"
"1";"6";"244.97742522632";"340.246423925444";"3509";"Kiddie";"120"
"1";"7";"153.68455253118";"213.450767404417";"2344";"Family";"120"
"1";"8";"310.347716917502";"431.038495718753";"604";"Family";"120"
"1";"9";"347.830866703613";"483.098425977241";"214";"Ride";"120"
"1";"10";"30.1094818887097";"41.8187248454302";"2180";"Spinning Ride";"150"
"1";"11";"170.513383731677";"236.824144071774";"989";"Roller Coaster";"240"
"1";"12";"262.439460464098";"364.49925064458";"4839";"Ride";"270"
"1";"13";"408.491896311934";"567.349855988798";"4480";"Ride";"300"
"1";"14";"310.28907578868";"430.9570497065";"3036";"Ride";"360"
"1";"15";"389.718122518709";"541.275170164873";"1011";"Roller Coaster";"360"
"1";"16";"84.3043665636246";"117.089398005034";"7664";"Ride";"420"
"1";"17";"178.435641075659";"247.827279271749";"2110";"Water";"420"
"1";"18";"78.198442915803";"108.608948494171";"2177";"Family";"540"
"1";"19";"199.8621285393";"277.586289637917";"3823";"Show";"540"
"1";"20";"281.745036872406";"391.312551211675";"1178";"Show";"600"
"1";"21";"332.250470610232";"461.458986958656";"162";"Ride";"900"
"1";"22";"352.143349510393";"489.087985431101";"1530";"Family";"1020"
"1";"23";"115.392420221426";"160.267250307536";"1342";"Kiddie";"1200"
"1";"24";"314.338274503001";"436.580936809724";"6570";"Family";"1500"
"1";"25";"374.418461761746";"520.025641335758";"4696";"Family";"2100"
"2";"1";"345.767143008058";"480.232143066748";"532";"Ride";"60"
"2";"3";"363.956247923715";"505.494788782937";"750";"Roller Coaster";"90"
"2";"4";"20.7552194754612";"28.8266937159183";"561";"Family";"90"
"2";"5";"360.675022934011";"500.937531852793";"713";"Spinning Ride";"120"
"2";"6";"100.979274992867";"140.248993045649";"3509";"Kiddie";"120"
"2";"7";"291.235574019207";"404.493852804454";"2344";"Family";"120"
"2";"8";"37.9656340264008";"52.73004725889";"604";"Family";"120"
"2";"9";"19.4974762523602";"27.079828128278";"214";"Ride";"120"
"2";"10";"316.136606878177";"439.078620664135";"2180";"Spinning Ride";"150"
"2";"11";"278.401942333808";"386.669364352511";"989";"Roller Coaster";"240"
"2";"12";"213.991733874798";"297.210741492775";"4839";"Ride";"270"
"2";"13";"138.870701801676";"192.875974724549";"4480";"Ride";"300"
"2";"14";"138.69215602656";"192.627994481333";"3036";"Ride";"360"
"2";"15";"44.4217100790671";"61.6968195542598";"1011";"Roller Coaster";"360"
"2";"16";"262.826011868441";"365.036127595057";"7664";"Ride";"420"
"2";"17";"231.398589124921";"321.386929340168";"2110";"Water";"420"
"2";"18";"340.276060483878";"472.605639560941";"2177";"Family";"540"
"2";"19";"149.481130467559";"207.612681204942";"3823";"Show";"540"
"2";"20";"77.4359587421616";"107.549942697447";"1178";"Show";"600"
"2";"21";"42.0989919698579";"58.4708221803582";"162";"Ride";"900"
"2";"22";"65.1212130893877";"90.4461292908163";"1530";"Family";"1020"
"2";"23";"259.636988024885";"360.60692781234";"1342";"Kiddie";"1200"
"2";"24";"81.8083514166654";"113.622710300924";"6570";"Family";"1500"
"2";"25";"66.696503186049";"92.6340322028459";"4696";"Family";"2100"
"3";"1";"34.68038043443";"48.1671950478195";"532";"Ride";"60"
"3";"2";"363.956247923715";"505.494788782937";"163";"Kiddie";"60"
"3";"4";"352.477960364342";"489.552722728253";"561";"Family";"90"
"3";"5";"61.7165089214667";"85.717373502037";"713";"Spinning Ride";"120"
"3";"6";"263.047130164867";"365.343236340092";"3509";"Kiddie";"120"
"3";"7";"188.292966305461";"261.518008757585";"2344";"Family";"120"
