"id";"nsid";"takenUnix";"poiID";"poiTheme";"poiFreq";"rideDuration";"seqID"
21636347373;"10000151@N02";1445055661;17;"Water";2110;420;1
8677571250;"10004778@N07";1365918281;7;"Family";2344;120;2
16998105937;"10013542@N02";1429426348;17;"Water";2110;420;3
9515529419;"100344010@N06";1354336114;24;"Family";6570;1500;4
14959134936;"100373287@N02";1407466438;6;"Kiddie";3509;120;5
14795578817;"100373287@N02";1407496883;25;"Family";4696;2100;6
18356912793;"100432722@N02";1434582533;12;"Ride";4839;270;7
9533387641;"100448554@N06";1355980080;22;"Family";1530;1020;8
9536173062;"100448554@N06";1355980147;13;"Ride";4480;300;8
9536162174;"100448554@N06";1356079286;19;"Show";3823;540;9
9533375019;"100448554@N06";1356083474;19;"Show";3823;540;9
9536160962;"100448554@N06";1356087077;16;"Ride";7664;420;9
9536160642;"100448554@N06";1356132432;12;"Ride";4839;270;10
9536160014;"100448554@N06";1356140843;10;"Spinning Ride";2180;150;10
9533371857;"100448554@N06";1356169614;24;"Family";6570;1500;10
14025210634;"100459519@N02";1398077941;24;"Family";6570;1500;11
7754909144;"10050886@N06";1344569913;12;"Ride";4839;270;12
7755469790;"10050886@N06";1344576943;12;"Ride";4839;270;12
7756980584;"10050886@N06";1344600391;16;"Ride";7664;420;12
24637123005;"100548895@N03";1453792770;7;"Family";2344;120;13
24050818573;"100548895@N03";1453956474;7;"Family";2344;120;14
7305358270;"10055157@N02";1338365524;17;"Water";2110;420;15
7305983654;"10055157@N02";1338373675;7;"Family";2344;120;15
8320070989;"10055157@N02";1356693316;12;"Ride";4839;270;16
8369959230;"10055157@N02";1357819194;12;"Ride";4839;270;17
17109415857;"10055157@N02";1430292770;13;"Ride";4480;300;18
17316977825;"10055157@N02";1430294018;23;"Kiddie";1342;1200;18
26954165055;"10055157@N02";1462920696;13;"Ride";4480;300;19
26353223153;"10055157@N02";1462935357;7;"Family";2344;120;19
7153380431;"10062483@N05";1336354340;8;"Family";604;120;20
7153405327;"10062483@N05";1336354776;2;"Kiddie";163;60;20
7007315230;"10062483@N05";1336354777;9;"Ride";214;120;20
27898626581;"100632664@N02";1467130154;12;"Ride";4839;270;21
7352920428;"10079095@N04";1339139126;13;"Ride";4480;300;22
7167715303;"10079095@N04";1339139273;13;"Ride";4480;300;22
7352932058;"10079095@N04";1339139469;13;"Ride";4480;300;22
7352947708;"10079095@N04";1339139966;22;"Family";1530;1020;22
7167741289;"10079095@N04";1339140096;12;"Ride";4839;270;22
7168343109;"10079095@N04";1339160823;4;"Family";561;90;22
7353717626;"10079095@N04";1339167648;12;"Ride";4839;270;22
14973810351;"100800732@N07";1405811865;16;"Ride";7664;420;23
15151296002;"100800732@N07";1405858518;10;"Spinning Ride";2180;150;24
3912159814;"10104403@N00";1252645595;6;"Kiddie";3509;120;25
3912160788;"10104403@N00";1252645671;6;"Kiddie";3509;120;25
3912161432;"10104403@N00";1252645678;6;"Kiddie";3509;120;25
3912162114;"10104403@N00";1252645750;6;"Kiddie";3509;120;25
3911380401;"10104403@N00";1252645761;6;"Kiddie";3509;120;25
3912163896;"10104403@N00";1252647589;6;"Kiddie";3509;120;25
3911382647;"10104403@N00";1252647600;6;"Kiddie";3509;120;25
3911383673;"10104403@N00";1252647608;6;"Kiddie";3509;120;25
3911386589;"10104403@N00";1252647624;6;"Kiddie";3509;120;25
3911387581;"10104403@N00";1252647630;6;"Kiddie";3509;120;25
3912171132;"10104403@N00";1252647682;6;"Kiddie";3509;120;25
3911392397;"10104403@N00";1252647685;6;"Kiddie";3509;120;25
3912172424;"10104403@N00";1252648693;6;"Kiddie";3509;120;25
3911391231;"10104403@N00";1252648699;6;"Kiddie";3509;120;25
3912175426;"10104403@N00";1252648779;6;"Kiddie";3509;120;25
3911394683;"10104403@N00";1252648788;6;"Kiddie";3509;120;25
3912177734;"10104403@N00";1252648975;6;"Kiddie";3509;120;25
3912178596;"10104403@N00";1252648980;6;"Kiddie";3509;120;25
3911397637;"10104403@N00";1252648996;6;"Kiddie";3509;120;25
3911398567;"10104403@N00";1252648998;6;"Kiddie";3509;120;25
3911399789;"10104403@N00";1252649004;6;"Kiddie";3509;120;25
3911402707;"10104403@N00";1252649085;6;"Kiddie";3509;120;25
3911403433;"10104403@N00";1252649088;6;"Kiddie";3509;120;25
3911405275;"10104403@N00";1252649205;6;"Kiddie";3509;120;25
3911404511;"10104403@N00";1252649248;6;"Kiddie";3509;120;25
3911401061;"10104403@N00";1252649252;6;"Kiddie";3509;120;25
3912183832;"10104403@N00";1252649271;6;"Kiddie";3509;120;25
3911406173;"10104403@N00";1252649737;6;"Kiddie";3509;120;25
3911407107;"10104403@N00";1252649760;6;"Kiddie";3509;120;25
3911408413;"10104403@N00";1252649801;6;"Kiddie";3509;120;25
3912191834;"10104403@N00";1252650797;6;"Kiddie";3509;120;25
3912193932;"10104403@N00";1252650804;6;"Kiddie";3509;120;25
3911413109;"10104403@N00";1252650806;6;"Kiddie";3509;120;25
3912196768;"10104403@N00";1252650891;6;"Kiddie";3509;120;25
3911420491;"10104403@N00";1252651017;6;"Kiddie";3509;120;25
3911421533;"10104403@N00";1252651024;6;"Kiddie";3509;120;25
3911423277;"10104403@N00";1252651052;6;"Kiddie";3509;120;25
3911424071;"10104403@N00";1252651055;6;"Kiddie";3509;120;25
3912206698;"10104403@N00";1252651104;6;"Kiddie";3509;120;25
3911425881;"10104403@N00";1252651137;6;"Kiddie";3509;120;25
3911426657;"10104403@N00";1252651177;6;"Kiddie";3509;120;25
3912209150;"10104403@N00";1252651178;6;"Kiddie";3509;120;25
3911428301;"10104403@N00";1252651179;6;"Kiddie";3509;120;25
3912210860;"10104403@N00";1252651304;6;"Kiddie";3509;120;25
3915561302;"10104403@N00";1252739690;6;"Kiddie";3509;120;26
3914778811;"10104403@N00";1252739837;6;"Kiddie";3509;120;26
3914780399;"10104403@N00";1252739961;6;"Kiddie";3509;120;26
3914781571;"10104403@N00";1252739988;6;"Kiddie";3509;120;26
3915566884;"10104403@N00";1252740087;6;"Kiddie";3509;120;26
3915570594;"10104403@N00";1252740180;6;"Kiddie";3509;120;26
3914787907;"10104403@N00";1252740184;6;"Kiddie";3509;120;26
3914793315;"10104403@N00";1252740334;6;"Kiddie";3509;120;26
3914795133;"10104403@N00";1252742167;6;"Kiddie";3509;120;26
3914796775;"10104403@N00";1252742240;6;"Kiddie";3509;120;26
3915582708;"10104403@N00";1252742634;6;"Kiddie";3509;120;26
3914800227;"10104403@N00";1252743509;6;"Kiddie";3509;120;26
3915586114;"10104403@N00";1252743516;6;"Kiddie";3509;120;26
3914803407;"10104403@N00";1252743547;6;"Kiddie";3509;120;26
3915589556;"10104403@N00";1252747307;6;"Kiddie";3509;120;26
3915591254;"10104403@N00";1252747378;6;"Kiddie";3509;120;26
3914808681;"10104403@N00";1252747402;6;"Kiddie";3509;120;26
