,USAGE_DATE,FACILITY_NAME,attendance,Year,Month,Day_of_Week,mean_attendance,std_attendance,standardized_attendance
0,2018-06-01,PortAventura World,46804,2018,6,Friday,45461.004672897194,13418.682301511513,0.10008399460739359
1,2018-06-01,Tivoli Gardens,20420,2018,6,Friday,22760.57476635514,7124.5909205696535,-0.3285205834902866
2,2018-06-02,PortAventura World,57940,2018,6,Saturday,45461.004672897194,13418.682301511513,0.9299717399000602
3,2018-06-02,Tivoli Gardens,29110,2018,6,Saturday,22760.57476635514,7124.5909205696535,0.8911985690733784
4,2018-06-03,PortAventura World,44365,2018,6,Sunday,45461.004672897194,13418.682301511513,-0.08167751857227719
5,2018-06-03,Tivoli Gardens,23727,2018,6,Sunday,22760.57476635514,7124.5909205696535,0.13564641737600108
6,2018-06-04,PortAventura World,37617,2018,6,Monday,45461.004672897194,13418.682301511513,-0.5845584906659297
7,2018-06-04,Tivoli Gardens,15115,2018,6,Monday,22760.57476635514,7124.5909205696535,-1.0731247381911202
8,2018-06-05,PortAventura World,32438,2018,6,Tuesday,45461.004672897194,13418.682301511513,-0.970512929680901
9,2018-06-05,Tivoli Gardens,16373,2018,6,Tuesday,22760.57476635514,7124.5909205696535,-0.8965531968878876
10,2018-06-06,PortAventura World,28399,2018,6,Wednesday,45461.004672897194,13418.682301511513,-1.2715111878738858
11,2018-06-06,Tivoli Gardens,15831,2018,6,Wednesday,22760.57476635514,7124.5909205696535,-0.972627740120282
12,2018-06-07,PortAventura World,39436,2018,6,Thursday,45461.004672897194,13418.682301511513,-0.44900121617891814
13,2018-06-07,Tivoli Gardens,16587,2018,6,Thursday,22760.57476635514,7124.5909205696535,-0.8665163846153187
14,2018-06-08,PortAventura World,36459,2018,6,Friday,45461.004672897194,13418.682301511513,-0.6708560848693158
15,2018-06-08,Tivoli Gardens,16434,2018,6,Friday,22760.57476635514,7124.5909205696535,-0.887991301800847
16,2018-06-09,PortAventura World,52664,2018,6,Saturday,45461.004672897194,13418.682301511513,0.5367885732186567
17,2018-06-09,Tivoli Gardens,25776,2018,6,Saturday,22760.57476635514,7124.5909205696535,0.4232418769390563
18,2018-06-10,PortAventura World,47025,2018,6,Sunday,45461.004672897194,13418.682301511513,0.11655357001235761
19,2018-06-10,Tivoli Gardens,34376,2018,6,Sunday,22760.57476635514,7124.5909205696535,1.63032872527594
20,2018-06-11,PortAventura World,34984,2018,6,Monday,45461.004672897194,13418.682301511513,-0.7807774591784649
