Park,Year,Attendance
DisneyLand Park Paris,2006,10600000
DisneyLand Park Paris,2007,12000000
DisneyLand Park Paris,2008,12688000
DisneyLand Park Paris,2009,12740000
DisneyLand Park Paris,2010,10500000
DisneyLand Park Paris,2011,10990000
DisneyLand Park Paris,2012,11200000
DisneyLand Park Paris,2013,10430000
DisneyLand Park Paris,2014,9940000
DisneyLand Park Paris,2015,9790000
DisneyLand Park Paris,2016,8400000
DisneyLand Park Paris,2017,9660000
DisneyLand Park Paris,2018,9843000
DisneyLand Park Paris,2019,9745000
DisneyLand Park Paris,2020,2620000
DisneyLand Park Paris,2021,3500000
DisneyLand Park Paris,2022,9930000
Disneyland_California,2006,20680000
Disneyland_California,2007,20550000
Disneyland_California,2008,20287000
Disneyland_California,2009,21950000
Disneyland_California,2010,22258000
Disneyland_California,2011,22481000
Disneyland_California,2012,23738000
Disneyland_California,2013,24716000
Disneyland_California,2014,25538000
Disneyland_California,2015,27661000
Disneyland_California,2016,27238000
Disneyland_California,2017,27874000
Disneyland_California,2018,28527000
Disneyland_California,2019,28527000
Disneyland_California,2020,5593000
Disneyland_California,2021,13550000
Disneyland_California,2022,25881000
Disneyland_California,2023,27250000
Disneyland_HongKong,2006,5200000
Disneyland_HongKong,2007,4150000
Disneyland_HongKong,2008,4500000
Disneyland_HongKong,2009,4600000
Disneyland_HongKong,2010,5200000
Disneyland_HongKong,2011,5900000
Disneyland_HongKong,2012,6700000
Disneyland_HongKong,2013,7400000
Disneyland_HongKong,2014,7500000
Disneyland_HongKong,2015,6800000
Disneyland_HongKong,2016,6100000
Disneyland_HongKong,2017,6200000
Disneyland_HongKong,2018,6700000
Disneyland_HongKong,2019,5695000
Disneyland_HongKong,2020,1700000
Disneyland_HongKong,2021,2800000
Disneyland_HongKong,2022,3400000
Disneyland_HongKong,2023,6400000
Disneyland_Paris,2006,2200000
Disneyland_Paris,2007,2500000
Disneyland_Paris,2008,2612000
Disneyland_Paris,2009,2655000
Disneyland_Paris,2010,4500000
Disneyland_Paris,2011,4710000
Disneyland_Paris,2012,4800000
Disneyland_Paris,2013,4470000
Disneyland_Paris,2014,4260000
Disneyland_Paris,2015,5050000
Disneyland_Paris,2016,4970000
Disneyland_Paris,2017,5200000
Disneyland_Paris,2018,5298000
Disneyland_Paris,2019,5245000
Disneyland_Paris,2020,1410000
Disneyland_Paris,2021,1884000
Disneyland_Paris,2022,5340000
Disneyland_Paris,2023,16100000
