Death Caused,Death How,Date of Incident,On Attraction,Attraction Area,Location/Time,Age of Deceased,Gender of Deceased,From Where,Fault,Which State of Attraction
Construction accident,Industrial accident,8/29/2019,No,Disneyland,,37,Male,Not stated,Acts of God,California
Others,stabbed,3/7/1981,No,Tomorrowland,,18,Male,Not stated,Park Negligence,California
Others,Crushed,8/14/1985,No,Disneyland,behind the wheels of a bus,7,Female,California,Acts of God,California
Others,fatally shot,3/7/1987,No,Parking Lot,Rival gang members,15,Male,California,Guest Negligence,California
Parking Structures,Suicide,10/17/2010,No,Mickey & Friends parking,jumped,61,Male,California,Guest Negligence,California
Parking Structures,Suicide,4/2/2012,No,Mickey & Friends parking,jumped,23,Male,California,Guest Negligence,California
Parking Structures,Suicide,4/2/2012,No,Mickey & Friends parking,jumped,40,Male,California,Guest Negligence,California
Parking Structures,Suicide,12/3/2022,No,Mickey & Friends parking,jumped,51,Male,California,Guest Negligence,California
Parking Structures,Suicide,2/18/2023,No,Mickey & Friends parking,jumped or fell,,Female,California,Guest Negligence,California
Hyperion Theater,Falling,4/22/2003,No,Hyperion Theater,fell 60ft,36,Other,California,Park Negligence,California
Big Thunder Mountain Railroad,ride derailment,9/5/2003,Yes,Disneyland Park,On ride,22,Male,Not stated,Park Negligence,California
Columbia,head injury,12/24/1998,Yes,Disneyland Park,On ride,33,Male,Not stated,Park Negligence,California
Indiana Jones Adventure,brain hemorrhage,6/25/2000,No,Disneyland Park,After ride,23,Female,Not stated,Park Negligence,California
Jungle Cruise,septic shock,8/22/2021,Yes,Disneyland Park,After ride,66,Female,Not stated,Park Negligence,California
Main Street,Natural Causes,4/18/1981,No,Disneyland Park,near Sleeping Beauty's Castle,,Female,Not stated,Health Issues,California
Matterhorn,Decapitated,1/3/1984,Yes,Disneyland Park,thrown from bobsled,48,Female,California,Acts of God,California
Monorail,Dragged by vehical,6/17/1966,Yes,Disneyland Park,climed onto the monorail track,19,Male,California,Guest Negligence,California
PeopleMover,Crushed,8/1/1967,Yes,Disneyland Park,jumping cars,16,Male,California,Guest Negligence,California
PeopleMover,Crushed,6/7/1980,Yes,Disneyland Park,jumping cars,18,Male,California,Guest Negligence,California
Rivers of America,Drowned,6/20/1973,Yes,Disneyland Park,Tom Sawyer's Island past closing,18,Male,New York,Guest Negligence,California
Rivers of America,Drowned,6/4/1983,Yes,Disneyland Park,Tom Sawyer's Island,18,Male,New Mexico,Guest Negligence,California
Roger Rabbit's Car Toon Spin,Dragged by vehical,9/22/2000,Yes,Disneyland Park,dragged underneath the car,13,Male,California,Park Negligence,California
Space Mountain,Natural Causes,8/14/1979,Yes,Disneyland Park,On ride,31,Female,Not stated,Park Negligence,California
Disneyland Hotel,Suicide,9/3/1994,No,Disneyland Resort,jumped,76,Male,Not stated,Guest Negligence,California
Disneyland Hotel,possible suicide,7/6/1996,No,Disneyland Resort,jumped,23,Male,Not stated,Guest Negligence,California
Disneyland Hotel,Suicide,5/2/2008,No,Disneyland Resort,jumped,48,Male,Not stated,Guest Negligence,California
Bus,Crushed,4/1/2010,No,Disney Transportation,Disney's Fort Wilderness Resort,9,Male,Florida,Guest Negligence,Florida
Bus,Hit by vehical,12/26/2010,No,Disney Transportation,Port Orleans Resort,69,Male,Massachusetts,Guest Negligence,Florida
Car,Vehical accident,4/1/1995,No,Disney Transportation,Parking Lot,9,Male,Michigan,Park Negligence,Florida
Monorail,Vehical accident,7/5/2009,No,Disney Transportation,Transportation & Ticket Center,21,Male,Not Stated,Park Negligence,Florida
Parking Lot Tram,Falling,6/12/1982,No,Disney Transportation,Magic Kingdom,1,Female,Iowa,Park Negligence,Florida
Dinosaur,Natrual Causes,4/30/2005,No,Diney's Animal Kingdom,Exiting ride,30,Male,Indiana,Health Issues,Florida
Expedition Everest: Legend of the Forbidden Mountain,Natrual Causes,12/18/2007,Yes,Diney's Animal Kingdom,On ride,44,Male,Florida,Health Issues,Florida
Primeval Whirl,Head Injury,11/27/2007,Yes,Diney's Animal Kingdom,Resricted area of ride platform,63,Female,Florida,Park Negligence,Florida
Primeval Whirl,Head Injury,3/13/2011,Yes,Diney's Animal Kingdom,On ride,52,Male,Florida,Park Negligence,Florida
Downhill Double Dipper,Natrual Causes,3/15/2007,No,Disney's Blizzard Beach,after ride,N/A,Male,Not Stated,Health Issues,Florida
Melt-Away Bay,Natrual Causes,6/10/2018,Yes,Disney's Blizzard Beach,wave pool,71,Male,Not Stated,Health Issues,Florida
Indiana Jones Epic Stunt Spectsculst!,Head Injury,8/17/2009,No,Disney's Hollywood Studios,performing a tubmling roll,30,Male,Not Stated,Acts of God,Florida
Rock 'n' Roller Coaster,Natrual Causes,6/29/2006,Yes,Disney's Hollywood Studios,after ride,12,Male,Kentucky,Health Issues,Florida
Star Tours,Natrual Causes,10/24/2016,Yes,Disney's Hollywood Studios,after ride,67,Male,Tennessee,Health Issues,Florida
Toy Story Mania!,Natrual Causes,10/14/2014,Yes,Disney's Hollywood Studios,On ride,64,Female,Not Stated,Health Issues,Florida
Others,Falling,2/8/1990,No,Disney's Hollywood Studios,working on ac,19,Male,Florida,Acts of God,Florida
Body Wars,Natrual Causes,5/16/1995,Yes,Epcot,On ride,4,Female,Texas,Health Issues,Florida
Mission: Space,Natrual Causes,6/13/2005,Yes,Epcot,after ride,4,Male,Pennsylvania,Health Issues,Florida
Mission: Space,Natrual Causes,4/12/2006,No,Epcot,after ride,49,Female,Germany,Health Issues,Florida
Parking lot,Plane crash,11/21/1984,No,Epcot,crashed in parking lot,N/A,Male,South Carolina,Guest Negligence,Florida
Parking lot,Plane crash,11/21/1984,No,Epcot,crashed in parking lot,N/A,Female,South Carolina,Guest Negligence,Florida
Parking lot,Plane crash,11/21/1984,No,Epcot,crashed in parking lot,1,Female,South Carolina,Guest Negligence,Florida
Spaceship Earth,Natrual Causes,5/30/2021,No,Epcot,after ride,58,Male,Not Stated,Health Issues,Florida
Others,Plane crash,8/1/1987,No,Epcot,crashed during show rehearsal,27,Male,Venezuela,Acts of God,Florida
Others,Suicide,9/12/1987,No,Epcot,suicide after commiting crimes,37,Male,New York,Guest Negligence,Florida
Others,Natrual Causes,11/5/2017,No,Epcot,Wine & Dine Half Marathon,N/A,Other,Not Stated,Health Issues,Florida
Others,Found dead in burning car,8/18/2018,No,Epcot,Disney's Fantasia Gardens Miniture Golf,49,Male,Not Stated,Acts of God,Florida
Others,Falling,3/12/2019,No,Epcot,Remy's Ratatouille Advanture,N/A,Male,Not Stated,Acts of God,Florida
Others,Natrual Causes,11/1/2019,No,Epcot,Wine & Dine Half Marathon,N/A,Other,Not Stated,Health Issues,Florida
Others,Natrual Causes,3/20/2021,No,Epcot,near Spaceship Earth,66,Male,Not Stated,Health Issues,Florida
Backstage,Vehical accident,2/11/2004,No,Magic Kingdom,Share a Dream Come True Parade,38,Male,Not Stated,Park Negligence,Florida
Big Thunder Mountain Railroad,Natrual Causes,2/1/2017,No,Magic Kingdom,after ride,54,Male,Not Stated,Acts of God,Florida
Big Thunder Mountain Railroad,Natrual Causes,5/22/2023,No,Magic Kingdom,after ride,44,Male,Not Stated,Acts of God,Florida
It's a Small World,Natrual Causes,12/25/2014,No,Magic Kingdom,after ride,22,Female,Not Stated,Health Issues,Florida
"Main Street, U.S.A.",Drowned,8/11/1977,No,Magic Kingdom,Moat surrounding Cinderella Castle,4,Male,Illinois,Park Negligence,Florida
PeopleMover,Natrual Causes,9/25/2022,Yes,Magic Kingdom,On ride,83,Male,Florida,Health Issues,Florida
Pirates of the Carribean,Natrual Causes,2/1/2005,No,Magic Kingdom,after ride,77,Female,Minnesota,Health Issues,Florida
Pirates of the Carribean,Head Injury,8/6/2009,No,Magic Kingdom,Stage,47,Male,Not Stated,Park Negligence,Florida
Prince Charming Regal Carousel,Natrual Causes,12/12/2010,No,Magic Kingdom,after ride,77,Female,Not Stated,Health Issues,Florida
Skyway,Falling,2/14/1999,No,Magic Kingdom,Fantasy Skyway station platform,65,Male,Florida,Park Negligence,Florida
Space Mountain,Natrual Causes,8/12/1980,No,Magic Kingdom,after ride,10,Female,Venezuela,Health Issues,Florida
Space Mountain,Natrual Causes,8/1/2006,No,Magic Kingdom,On ride,6,Male,Not Stated,Health Issues,Florida
Space Mountain,Natrual Causes,12/7/2006,No,Magic Kingdom,On ride,73,Male,Not Stated,Health Issues,Florida
Space Mountain,Natrual Causes,7/7/2015,No,Magic Kingdom,after ride,55,Female,Tennessee,Health Issues,Florida
Splash Mountain,Blunt force trauma,11/5/2000,Yes,Magic Kingdom,On ride,37,Male,Florida,Guest Negligence,Florida
Fire,small explosion,11/4/1974,No,Magic Kingdom,boat,49,Male,Florida,Acts of God,Florida
Wave Pool,Natrual Causes,8/4/2005,No,Disney's Typhoon Lagoon,lying down on the side of pool,12,Female,Virginia,Health Issues,Florida
Disney's Art of Animation Resort,Drowned,7/14/2015,No,Resort Hotels,Resort pool,3,Male,Not Stated,Guest Negligence,Florida
Disney's Caribbean Beach Resort,Blunt force trauma,12/18/2020,No,Resort Hotels,several stories from resort,43,Female,Not Stated,Acts of God,Florida
Disney's Contemporary Resort,Falling,11/12/1992,No,Resort Hotels,sitting on ledge and wasps,N/A,Male,Worker,Acts of God,Florida
Disney's Contemporary Resort,Suicide,3/22/2016,No,Resort Hotels,Jumped inside the central A-frame tower.,N/A,Other,Not Stated,Guest Negligence,Florida
Disney's Contemporary Resort,Suicide,3/4/2020,No,Resort Hotels,Jumped,N/A,Female,Not Stated,Guest Negligence,Florida
Disney's Contemporary Resort,Falling,7/26/2023,No,Resort Hotels,fell from balcony,39,Male,Wisconsin,Acts of God,Florida
Disney's Fort Wilderness,Swimming,8/22/1980,No,Resort Hotels,amoebic meningoencephalitis in water,11,Male,New York,Acts of God,Florida
Disney's Fort Wilderness,Natrual Causes,4/16/1982,No,Resort Hotels,Water Flume,36,Female,New Jersey,Acts of God,Florida
Disney's Fort Wilderness,Drowned,8/9/1982,Yes,Resort Hotels,River Country,14,Male,North Dakota,Acts of God,Florida
Disney's Fort Wilderness,Drowned,5/23/1982,No,Resort Hotels,swimming pool,6,Male,Not Stated,Acts of God,Florida
Disney's Fort Wilderness,Drowned,7/10/1989,Yes,Resort Hotels,River Country,13,Male,Florida,Acts of God,Florida
