ENTITY_DESCRIPTION_SHORT,GUEST_CARRIED,CAPACITY,ATTRACTION;PARK,Park,Ranking
Log Flume,12062164.8462,257.38723048963783,Log Flume;Tivoli Gardens,Tivoli Gardens,1
Crazy Bus,8798972.7497,207.27732828675576,Crazy Bus;Tivoli Gardens,Tivoli Gardens,2
Gondola,7754942.2409,197.54034756381,Gondola;Tivoli Gardens,Tivoli Gardens,3
Power Tower,6936094.7666,132.1438149258778,Power Tower;Tivoli Gardens,Tivoli Gardens,4
Scooby Doo,6833432.0224,254.6733964806069,Scooby Doo;Tivoli Gardens,Tivoli Gardens,5
Skyway,6518310.5014,118.25954931541582,Skyway;Tivoli Gardens,Tivoli Gardens,6
Monorail,6371562.0607,123.5982640557475,Monorail;Tivoli Gardens,Tivoli Gardens,7
Pirate Ship,5692276.6567,130.33724286574608,Pirate Ship;Tivoli Gardens,Tivoli Gardens,8
Sling Shot,3821302.6325,71.95798024109624,Sling Shot;Tivoli Gardens,Tivoli Gardens,9
Aeroplane Ride,3534860.8663,67.15643126565026,Aeroplane Ride;Tivoli Gardens,Tivoli Gardens,10
Reverse Bungee,3499608.6507,73.57697143732568,Reverse Bungee;Tivoli Gardens,Tivoli Gardens,11
Top Spin,801556.9923,59.60297739455904,Top Spin;Tivoli Gardens,Tivoli Gardens,12
Tilt-A-Whirl,229322.0,123.28810058007566,Tilt-A-Whirl;Tivoli Gardens,Tivoli Gardens,13
