Month,Day_of_Week,adjuster_month_day
1,Friday,0.7017877449587551
1,Monday,0.5736661644288781
1,Saturday,1.3249580670703085
1,Sunday,1.0240627203634696
1,Thursday,0.633079587588172
1,Tuesday,0.5275523687769788
1,Wednesday,0.5832034767712185
2,Friday,0.8500416897665497
2,Monday,0.9470364701726528
2,Saturday,1.2948531998240838
2,Sunday,1.1154430793973207
2,Thursday,0.7826577667545537
2,Tuesday,0.861190764906216
2,Wednesday,0.8523904158437308
3,Friday,1.005755468845946
3,Monday,0.9284450536190922
3,Saturday,1.6417213398058867
3,Sunday,1.2866406971918622
3,Thursday,0.7607776799251275
3,Tuesday,0.7564527950268943
3,Wednesday,0.773849728560152
4,Friday,1.2328726563475882
4,Monday,1.2809528965022383
4,Saturday,1.3614973618900155
4,Sunday,1.330752025259737
4,Thursday,1.3717437376153523
4,Tuesday,1.37126276363678
4,Wednesday,1.3104564239820986
5,Friday,1.3053162894838215
5,Monday,1.0817241903540606
5,Saturday,1.3850932881115317
5,Sunday,1.2228899237014152
5,Thursday,1.2045347768827832
5,Tuesday,1.0737505974461306
5,Wednesday,1.178366066775886
6,Friday,1.0320959738542805
6,Monday,1.0180313341370661
6,Saturday,1.3567160821030242
6,Sunday,1.1628720553752434
6,Thursday,1.0506943831000917
6,Tuesday,0.9824298086662419
6,Wednesday,0.9588311874323159
7,Friday,0.8281513675729442
7,Monday,0.9992360257172644
7,Saturday,1.0493403339785972
7,Sunday,1.0123667594803352
7,Thursday,0.8990515987719431
7,Tuesday,1.0252217047673806
7,Wednesday,0.9721015293916553
8,Friday,1.0012289648492572
8,Monday,0.908628408247389
8,Saturday,1.0319574842075578
8,Sunday,0.9037167299207524
8,Thursday,1.1487086782789566
8,Tuesday,1.0964500937835753
8,Wednesday,1.094423985381861
9,Friday,0.5847152016778964
9,Monday,0.5403463452107025
9,Saturday,1.1907413873796389
9,Sunday,0.9027314965100995
9,Thursday,0.5122821687497467
9,Tuesday,0.47014590786758137
9,Wednesday,0.4901111905289195
10,Friday,0.7055251340016313
10,Monday,0.7750396092790556
10,Saturday,1.0769757841484924
10,Sunday,0.9845802004144979
10,Thursday,0.7266034309021541
10,Tuesday,0.740811697178259
10,Wednesday,0.7743158425947223
11,Friday,1.2410255219583997
11,Monday,0.7185160147589562
11,Saturday,1.3984971116262723
11,Sunday,1.1937225646372003
11,Thursday,0.7610345363892088
11,Tuesday,0.6670673425894837
11,Wednesday,0.6059076189119446
12,Friday,1.4052405789622109
12,Monday,1.1643950903593394
12,Saturday,1.454402261359444
12,Sunday,1.3310218038710948
12,Thursday,0.9595649065842012
12,Tuesday,1.1730007798540731
12,Wednesday,0.9826447050897833
