day,hour,peak_pct,peak_frc
1,8,59,0.59
1,9,77,0.77
1,10,88,0.88
1,11,94,0.94
1,12,96,0.96
1,13,97,0.97
1,14,98,0.98
1,15,98,0.98
1,16,97,0.97
1,17,95,0.95
1,18,90,0.9
1,19,87,0.87
1,20,81,0.81
1,21,69,0.69
2,8,55,0.55
2,9,70,0.7
2,10,80,0.8
2,11,85,0.85
2,12,88,0.88
2,13,90,0.9
2,14,90,0.9
2,15,89,0.89
2,16,88,0.88
2,17,87,0.87
2,18,85,0.85
2,19,83,0.83
2,20,78,0.78
2,21,68,0.68
3,8,56,0.56
3,9,72,0.72
3,10,82,0.82
3,11,89,0.89
3,12,93,0.93
3,13,94,0.94
3,14,94,0.94
3,15,94,0.94
3,16,93,0.93
3,17,92,0.92
3,18,91,0.91
3,19,90,0.9
3,20,85,0.85
3,21,74,0.74
4,8,59,0.59
4,9,76,0.76
4,10,86,0.86
4,11,91,0.91
4,12,94,0.94
4,13,97,0.97
4,14,97,0.97
4,15,98,0.98
4,16,97,0.97
4,17,95,0.95
4,18,93,0.93
4,19,91,0.91
4,20,86,0.86
4,21,74,0.74
5,8,61,0.61
5,9,78,0.78
5,10,91,0.91
5,11,96,0.96
5,12,99,0.99
5,13,100,1
5,14,99,0.99
5,15,99,0.99
5,16,98,0.98
5,17,97,0.97
5,18,96,0.96
5,19,95,0.95
5,20,89,0.89
5,21,74,0.74
6,8,60,0.6
6,9,75,0.75
6,10,83,0.83
6,11,88,0.88
6,12,91,0.91
6,13,93,0.93
6,14,95,0.95
6,15,96,0.96
6,16,95,0.95
6,17,92,0.92
6,18,90,0.9
6,19,89,0.89
6,20,84,0.84
6,21,69,0.69
7,8,55,0.55
7,9,70,0.7
7,10,79,0.79
7,11,85,0.85
7,12,88,0.88
7,13,91,0.91
7,14,92,0.92
7,15,93,0.93
7,16,91,0.91
7,17,88,0.88
7,18,85,0.85
7,19,81,0.81
7,20,75,0.75
7,21,62,0.62
