day,hour,peak_pct,peak_frc,,
1,9,14,0.14,,
1,10,25,0.25,,
1,11,37,0.37,,
1,12,47,0.47,, 
1,13,51,0.51,,
1,14,53,0.53,,
1,15,55,0.55,,
1,16,61,0.61,,
1,17,70,0.7,,
1,18,80,0.8,,
1,19,79,0.79,,
1,20,66,0.66,,
1,21,46,0.46,,
2,9,14,0.14,,
2,10,25,0.25,,
2,11,36,0.36,,
2,12,45,0.45,,
2,13,49,0.49,,
2,14,52,0.52,,
2,15,53,0.53,,
2,16,57,0.57,,
2,17,66,0.66,,
2,18,76,0.76,,
2,19,77,0.77,,
2,20,65,0.65,,
2,21,45,0.45,,
3,9,15,0.15,,
3,10,25,0.25,,
3,11,36,0.36,,
3,12,45,0.45,,
3,13,49,0.49,,
3,14,51,0.51,,
3,15,52,0.52,,
3,16,58,0.58,,
3,17,68,0.68,,
3,18,80,0.8,,
3,19,81,0.81,,
3,20,69,0.69,,
3,21,49,0.49,,
4,9,15,0.15,,
4,10,26,0.26,,
4,11,37,0.37,,
4,12,46,0.46,,
4,13,50,0.5,,
4,14,52,0.52,,
4,15,54,0.54,,
4,16,59,0.59,,
4,17,69,0.69,,
4,18,80,0.8,,
4,19,82,0.82,,
4,20,71,0.71,,
4,21,51,0.51,,
5,9,15,0.15,,
5,10,28,0.28,,
5,11,40,0.4,,
5,12,51,0.51,,
5,13,56,0.56,,
5,14,58,0.58,,
5,15,61,0.61,,
5,16,67,0.67,,
5,17,77,0.77,,
5,18,89,0.89,,
5,19,92,0.92,,
5,20,82,0.82,,
5,21,61,0.61,,
6,9,22,0.22,,
6,10,40,0.4,,
6,11,58,0.58,,
6,12,75,0.75,,
6,13,87,0.87,,
6,14,96,0.96,,
6,15,100,1,,
6,16,99,0.99,,
6,17,94,0.94,,
6,18,85,0.85,,
6,19,75,0.75,,
6,20,61,0.61,,
6,21,44,0.44,,
7,9,20,0.2,,
7,10,36,0.36,,
7,11,52,0.52,,
7,12,67,0.67,,
7,13,78,0.78,,
7,14,85,0.85,,
7,15,87,0.87,,
7,16,84,0.84,,
7,17,78,0.78,,
7,18,70,0.7,,
7,19,61,0.61,,
7,20,49,0.49,,
7,21,33,0.33,,
